idx,A,S,E,O,R,T
2819,adult,M,uni,emp,big,train
2820,adult,F,high,emp,big,other
2821,adult,M,high,emp,big,car
2822,young,M,high,self,big,car
2823,adult,M,uni,emp,big,car
2824,adult,F,uni,emp,big,car
2825,old,M,high,emp,big,car
2826,old,F,uni,emp,big,car
2827,adult,F,high,emp,big,car
2828,adult,M,high,emp,big,car
2829,young,F,high,emp,big,other
2830,young,M,high,emp,big,car
2831,young,F,high,emp,big,car
2832,old,M,high,emp,big,train
2833,adult,M,high,emp,big,car
2834,young,M,uni,emp,big,car
2835,young,F,uni,self,big,car
2836,young,M,high,emp,big,car
2837,young,F,uni,emp,big,car
2838,adult,F,uni,self,big,car
2839,old,M,high,self,big,car
2840,young,M,uni,emp,big,other
2841,adult,F,high,emp,big,other
2842,young,F,uni,emp,big,other
2843,young,M,high,emp,big,car
2844,young,F,high,emp,big,train
2845,old,M,high,emp,big,car
2846,young,M,high,emp,big,train
2847,old,M,uni,emp,small,train
2848,old,M,high,emp,big,car
2849,adult,F,uni,emp,small,car
2850,young,M,high,emp,big,other
2851,old,M,high,emp,big,car
2852,young,M,high,emp,big,other
2853,young,F,uni,emp,big,other
2854,adult,M,high,emp,small,train
2855,adult,M,high,emp,big,car
2856,adult,M,uni,emp,big,car
2857,adult,M,uni,self,small,train
2858,adult,F,high,emp,small,car
2859,young,F,high,emp,small,train
2860,adult,F,high,emp,big,car
2861,old,F,high,emp,big,car
2862,adult,F,high,emp,big,car
2863,adult,M,high,emp,big,other
2864,young,M,high,emp,small,car
2865,adult,F,high,emp,small,car
2866,adult,M,uni,emp,big,other
2867,adult,F,high,emp,big,car
2868,adult,M,high,emp,big,car
2869,young,M,high,emp,big,train
2870,adult,F,high,emp,big,car
2871,young,F,uni,self,small,car
2872,adult,F,uni,emp,big,train
2873,old,M,high,emp,big,car
2874,adult,M,high,emp,big,car
2875,old,F,high,emp,small,car
2876,young,M,high,emp,big,car
2877,adult,F,high,emp,small,car
2878,young,M,uni,emp,big,train
2879,young,M,high,emp,big,train
2880,young,M,high,emp,big,car
2881,adult,M,high,emp,big,car
2882,young,M,high,emp,big,car
2883,young,M,uni,emp,big,car
2884,adult,F,high,self,big,car
2885,adult,M,high,emp,small,train
2886,adult,M,high,emp,big,car
2887,old,F,high,emp,big,car
2888,young,F,high,emp,big,car
2889,adult,M,high,emp,small,train
2890,adult,M,uni,emp,small,train
2891,young,M,uni,emp,big,car
2892,young,M,high,emp,big,car
2893,adult,M,high,emp,big,car
2894,old,M,high,emp,big,train
2895,old,F,high,emp,small,train
2896,young,M,high,emp,big,car
2897,adult,M,uni,emp,big,car
2898,adult,F,high,emp,small,train
2899,young,F,high,emp,big,train
2900,adult,M,high,emp,big,car
2901,young,M,high,emp,small,train
2902,old,M,high,emp,big,car
2903,adult,F,high,emp,big,car
2904,adult,M,uni,emp,big,car
2905,old,M,high,emp,big,train
2906,old,M,high,emp,big,car
2907,adult,M,high,emp,big,car
2908,adult,M,high,emp,big,car
2909,adult,F,high,emp,big,car
2910,adult,F,high,emp,big,car
2911,young,F,high,emp,small,car
2912,old,F,high,emp,big,train
2913,adult,F,high,emp,big,car
2914,old,M,high,emp,big,car
2915,adult,F,high,emp,big,other
2916,adult,F,high,emp,big,train
2917,adult,F,uni,emp,big,other
2918,young,F,high,emp,big,car
2919,old,M,uni,emp,big,train
2920,old,M,uni,emp,big,train
2921,adult,F,high,emp,small,train
2922,adult,M,high,emp,big,train
2923,adult,M,uni,emp,small,train
2924,young,M,high,emp,big,car
2925,adult,M,uni,emp,big,train
2926,young,F,high,emp,big,other
2927,adult,F,high,self,big,car
2928,adult,F,high,emp,big,train
2929,adult,M,high,emp,big,other
2930,young,F,high,emp,big,car
2931,young,M,high,emp,big,train
2932,old,M,high,emp,big,car
2933,adult,M,high,emp,big,train
2934,adult,M,high,emp,small,train
2935,adult,M,high,emp,big,car
2936,adult,M,uni,emp,big,other
2937,young,F,uni,emp,big,car
2938,young,M,high,emp,big,other
2939,adult,M,high,emp,big,train
2940,adult,F,high,emp,big,train
2941,young,M,uni,emp,big,other
2942,old,M,high,emp,big,car
2943,adult,M,high,self,big,car
2944,young,M,high,emp,big,car
2945,young,M,uni,emp,big,train
2946,young,M,uni,emp,big,car
2947,young,M,uni,emp,big,car
2948,old,F,high,emp,big,train
2949,young,M,high,emp,small,car
2950,young,F,high,emp,big,car
2951,old,M,high,emp,big,car
2952,young,M,high,emp,big,other
2953,adult,M,high,emp,big,car
2954,adult,M,high,emp,big,car
2955,old,M,uni,emp,small,train
2956,old,M,high,emp,small,train
2957,adult,F,high,emp,big,train
2958,adult,F,high,emp,big,car
2959,adult,F,high,emp,big,other
2960,adult,M,high,emp,small,train
2961,adult,M,uni,self,small,train
2962,young,F,high,emp,big,train
2963,adult,M,high,emp,big,train
2964,young,M,high,emp,big,car
2965,adult,F,uni,emp,big,car
2966,old,M,high,emp,big,train
2967,young,M,high,emp,small,car
2968,old,M,high,emp,big,car
2969,adult,F,high,emp,big,car
2970,young,M,uni,emp,big,car
2971,adult,F,high,emp,big,car
2972,old,F,high,emp,big,train
2973,old,M,high,emp,big,car
2974,adult,F,high,emp,big,car
2975,young,M,high,emp,small,train
2976,adult,F,uni,self,big,car
2977,young,F,uni,self,big,car
2978,young,M,uni,emp,big,car
2979,young,F,high,emp,big,other
2980,young,M,high,emp,big,train
2981,young,M,high,emp,big,car
2982,old,F,high,emp,big,car
2983,young,M,high,emp,big,train
2984,adult,M,uni,emp,big,car
2985,adult,F,high,emp,big,car
2986,adult,M,high,emp,big,train
2987,adult,M,uni,emp,big,car
2988,young,M,high,emp,big,other
2989,adult,M,high,emp,small,other
2990,adult,M,high,emp,small,car
2991,young,M,high,emp,small,other
2992,adult,F,uni,emp,big,car
2993,young,M,uni,self,big,train
2994,young,M,uni,emp,big,train
2995,young,M,high,emp,small,other
2996,adult,M,high,emp,big,car
2997,adult,F,high,emp,big,car
2998,old,F,high,emp,small,car
2999,old,M,high,emp,big,other
3000,adult,M,uni,emp,big,car
3001,old,F,high,emp,small,car
3002,adult,M,high,emp,big,other
3003,young,M,high,emp,small,train
3004,adult,M,high,emp,big,other
3005,old,M,high,emp,big,car
3006,adult,M,high,emp,big,car
3007,young,M,high,emp,big,car
3008,adult,F,uni,emp,big,car
3009,young,F,high,emp,big,train
3010,adult,M,high,emp,small,car
3011,adult,F,high,emp,big,car
3012,adult,M,high,emp,big,car
3013,young,F,high,emp,small,car
3014,adult,M,uni,emp,big,train
3015,adult,M,uni,emp,big,other
3016,old,M,high,emp,big,car
3017,adult,F,high,emp,big,train
3018,adult,M,uni,emp,big,train
3019,adult,M,high,emp,small,car
3020,old,M,high,emp,big,car
3021,young,F,high,emp,big,car
3022,old,F,high,emp,big,car
3023,adult,M,high,emp,big,train
3024,adult,F,high,emp,big,other
3025,young,F,high,emp,big,train
3026,adult,M,high,emp,big,car
3027,old,M,uni,emp,big,train
3028,young,F,high,emp,small,car
3029,adult,F,high,emp,big,car
3030,adult,F,high,emp,big,other
3031,young,F,uni,emp,big,car
3032,adult,M,uni,emp,big,train
3033,old,F,uni,self,big,car
3034,adult,M,uni,emp,big,car
3035,adult,M,uni,self,small,car
3036,old,M,high,self,big,car
3037,adult,M,high,emp,big,car
3038,young,F,uni,emp,small,train
3039,old,M,high,emp,small,car
3040,adult,M,high,emp,small,car
3041,adult,M,uni,emp,big,car
3042,adult,F,uni,emp,big,car
3043,adult,M,high,emp,big,car
3044,adult,M,uni,emp,big,car
3045,young,M,high,emp,small,car
3046,young,F,uni,emp,big,train
3047,adult,M,high,emp,big,train
3048,young,M,uni,emp,small,train
3049,old,M,high,emp,big,other
3050,old,M,high,emp,small,train
3051,adult,M,uni,emp,big,other
3052,adult,F,high,emp,big,train
3053,adult,F,high,emp,small,other
3054,old,M,high,emp,big,other
3055,adult,F,high,emp,big,train
3056,old,M,high,emp,big,train
3057,young,M,high,emp,small,train
3058,young,F,uni,emp,big,car
3059,old,M,high,emp,small,car
3060,old,F,high,emp,big,car
3061,young,M,high,self,big,car
3062,adult,M,high,emp,small,car
3063,adult,F,high,emp,big,train
3064,adult,M,high,emp,small,car
3065,adult,M,high,emp,big,car
3066,young,M,high,emp,small,train
3067,old,F,high,emp,big,car
3068,young,F,high,emp,big,other
3069,adult,F,high,emp,big,car
3070,adult,M,high,emp,big,car
3071,adult,F,high,emp,big,car
3072,adult,F,high,emp,big,car
3073,young,M,high,emp,small,other
3074,adult,F,high,emp,small,train
3075,old,F,high,emp,big,car
3076,adult,F,high,emp,big,car
3077,adult,M,high,emp,big,other
3078,adult,M,uni,emp,small,car
3079,young,M,uni,emp,big,car
3080,young,M,high,emp,big,other
3081,adult,F,high,emp,big,other
3082,young,F,high,emp,big,car
3083,adult,M,high,emp,big,other
3084,young,M,high,emp,big,car
3085,adult,M,high,emp,big,car
3086,adult,M,uni,emp,big,other
3087,adult,M,high,emp,big,car
3088,old,M,high,emp,big,car
3089,old,M,high,emp,big,other
3090,adult,M,uni,emp,big,train
3091,young,M,high,emp,big,car
3092,old,F,high,emp,big,car
3093,adult,F,high,emp,big,car
3094,adult,M,high,emp,big,car
3095,young,M,high,emp,big,car
3096,adult,F,high,emp,big,other
3097,adult,M,high,emp,big,other
3098,young,F,high,emp,big,train
3099,young,M,high,emp,big,car
3100,young,F,high,emp,small,car
3101,young,F,high,self,small,other
3102,adult,M,uni,emp,big,car
3103,adult,F,high,emp,big,car
3104,young,M,high,emp,big,train
3105,old,F,uni,emp,big,car
3106,adult,F,uni,emp,big,car
3107,adult,F,high,emp,big,car
3108,adult,M,high,emp,big,train
3109,adult,F,uni,emp,big,other
3110,old,M,high,emp,big,train
3111,young,M,high,emp,big,car
3112,old,M,high,emp,big,car
3113,adult,M,high,emp,small,train
3114,old,M,high,emp,big,car
3115,young,F,high,emp,small,car
3116,young,M,high,emp,small,train
3117,old,F,high,emp,big,car
3118,adult,M,high,emp,big,other
3119,old,M,high,emp,big,car
3120,young,M,uni,emp,big,other
3121,adult,M,high,emp,big,train
3122,adult,M,high,emp,big,train
3123,young,M,high,emp,small,car
3124,adult,M,high,self,big,car
3125,adult,M,high,emp,big,train
3126,adult,M,high,emp,small,car
3127,young,F,high,emp,small,car
3128,adult,F,high,emp,big,car
3129,adult,F,high,emp,big,car
3130,young,M,high,emp,big,other
3131,adult,M,uni,emp,small,other
3132,adult,M,uni,emp,small,car
3133,adult,M,high,emp,big,car
3134,adult,M,high,emp,small,train
3135,adult,F,uni,emp,big,car
3136,adult,F,uni,emp,big,other
3137,adult,M,high,emp,small,other
3138,old,M,high,emp,big,train
3139,adult,F,high,emp,big,other
3140,adult,M,high,emp,big,other
3141,adult,F,high,emp,big,car
3142,adult,F,high,emp,big,train
3143,young,M,high,emp,big,car
3144,adult,F,uni,emp,big,train
3145,adult,M,high,emp,big,car
3146,adult,M,high,emp,big,other
3147,adult,M,high,emp,small,car
3148,old,M,high,emp,big,other
3149,young,M,uni,emp,big,car
3150,old,M,high,emp,big,other
3151,young,F,high,emp,small,car
3152,adult,M,high,emp,small,car
3153,adult,M,high,emp,big,car
3154,old,M,high,emp,big,other
3155,young,F,high,self,big,other
3156,old,F,uni,emp,big,train
3157,old,M,high,emp,big,car
3158,adult,M,high,emp,big,train
3159,adult,F,uni,emp,big,other
3160,adult,M,uni,self,small,train
3161,old,M,high,emp,big,train
3162,young,F,uni,emp,big,car
3163,old,F,high,emp,big,other
3164,young,M,high,emp,small,car
3165,young,M,high,emp,small,car
3166,adult,F,high,emp,big,train
3167,young,F,uni,self,small,car
3168,adult,M,high,emp,big,car
3169,adult,F,uni,emp,big,car
3170,adult,M,high,emp,small,other
3171,adult,M,high,emp,big,car
3172,old,M,high,emp,small,car
3173,adult,F,high,emp,small,train
3174,adult,F,high,emp,small,train
3175,adult,F,high,emp,big,other
3176,young,M,high,emp,small,train
3177,old,F,high,emp,big,other
3178,young,M,high,emp,big,car
3179,adult,M,uni,emp,big,car
3180,adult,M,high,emp,big,car
3181,adult,F,high,emp,big,car
3182,adult,M,uni,emp,big,other
3183,adult,M,high,emp,big,other
3184,adult,F,high,emp,small,car
3185,young,M,high,emp,big,car
3186,young,M,high,emp,small,train
3187,adult,F,high,emp,big,car
3188,young,M,high,emp,small,car
3189,young,F,high,emp,big,car
3190,adult,M,uni,emp,big,other
3191,young,M,high,emp,small,car
3192,old,M,high,emp,small,car
3193,adult,M,uni,emp,big,car
3194,adult,M,high,self,big,train
3195,young,M,high,emp,big,train
3196,adult,M,high,emp,big,car
3197,young,M,high,emp,big,train
3198,adult,M,high,emp,small,car
3199,young,M,high,emp,big,other
3200,old,M,uni,self,big,car
3201,old,M,high,emp,big,other
3202,adult,M,high,emp,big,train
3203,adult,M,high,emp,small,car
3204,old,F,high,emp,big,train
3205,adult,F,uni,emp,big,car
3206,young,M,high,emp,big,other
3207,adult,F,uni,emp,big,car
3208,adult,M,high,emp,big,train
3209,old,F,high,emp,big,car
3210,young,F,uni,emp,big,car
3211,young,M,uni,emp,small,train
3212,adult,M,high,emp,small,train
3213,young,M,high,emp,small,car
3214,adult,F,high,emp,big,car
3215,adult,M,high,emp,big,car
3216,young,F,uni,emp,big,train
3217,adult,F,high,emp,big,other
3218,adult,M,high,emp,big,car
3219,adult,M,high,emp,big,car
3220,adult,M,high,emp,big,car
3221,old,F,high,emp,big,car
3222,young,M,high,emp,big,other
3223,young,M,high,emp,big,other
3224,adult,M,high,emp,small,car
3225,adult,F,high,emp,big,car
3226,young,M,high,emp,big,other
3227,old,M,high,emp,big,car
3228,adult,F,high,emp,big,other
3229,young,F,uni,emp,big,car
3230,adult,M,high,emp,small,train
3231,adult,M,high,emp,big,car
3232,adult,M,high,emp,big,car
3233,young,M,high,emp,big,train
3234,adult,M,high,emp,big,car
3235,young,M,high,emp,big,train
3236,old,M,high,emp,big,car
3237,old,M,high,emp,big,other
3238,adult,M,high,emp,big,car
3239,adult,M,high,emp,big,car
3240,young,M,high,self,big,car
3241,adult,M,high,emp,big,train
3242,old,M,high,emp,small,train
3243,adult,M,high,emp,big,other
3244,young,F,high,emp,small,train
3245,adult,M,high,emp,small,car
3246,adult,F,high,emp,big,car
3247,adult,M,high,emp,big,train
3248,adult,F,high,emp,big,car
3249,adult,M,uni,emp,big,other
3250,old,M,high,emp,small,other
3251,adult,M,uni,emp,small,car
3252,adult,M,high,emp,big,car
3253,adult,F,uni,emp,big,car
3254,young,M,high,emp,big,other
3255,adult,F,high,emp,big,car
3256,adult,M,uni,emp,big,car
3257,old,M,high,emp,big,car
3258,adult,F,uni,emp,big,other
3259,adult,F,high,emp,big,car
3260,adult,M,uni,emp,big,car
3261,adult,M,uni,emp,small,car
3262,young,M,high,emp,big,car
3263,adult,F,uni,emp,big,train
3264,adult,M,high,emp,big,car
3265,adult,M,high,emp,big,car
3266,young,M,high,emp,big,other
3267,adult,F,uni,emp,big,car
3268,old,M,high,emp,big,other
3269,adult,M,high,emp,big,other
3270,adult,F,high,emp,big,car
3271,adult,F,high,emp,big,car
3272,adult,F,high,emp,big,train
3273,old,F,high,emp,small,car
3274,old,F,high,emp,big,car
3275,adult,F,high,emp,big,other
3276,young,F,high,emp,big,car
3277,old,F,high,emp,big,other
3278,old,F,high,emp,small,car
3279,old,F,high,emp,big,car
3280,old,M,high,emp,big,car
3281,adult,M,high,emp,big,car
3282,young,M,high,emp,big,car
3283,young,M,high,emp,big,car
3284,adult,F,uni,emp,big,car
3285,adult,M,uni,emp,big,train
3286,old,M,high,emp,big,train
3287,adult,M,high,emp,big,car
3288,adult,F,high,emp,big,train
3289,adult,M,high,emp,big,car
3290,young,F,uni,emp,big,train
3291,young,M,high,emp,small,car
3292,young,F,high,emp,small,train
3293,adult,F,high,emp,big,train
3294,young,M,high,emp,big,car
3295,adult,F,high,emp,big,car
3296,young,M,uni,emp,big,car
3297,old,M,high,emp,big,train
3298,young,M,uni,emp,big,car
3299,adult,M,high,emp,small,other
3300,young,M,high,emp,big,car
3301,adult,M,high,emp,big,train
3302,adult,F,high,emp,big,car
3303,young,F,high,emp,small,car
3304,old,M,high,emp,small,train
3305,old,F,high,emp,big,other
3306,adult,F,high,emp,big,train
3307,adult,F,high,emp,big,train
3308,adult,M,uni,self,big,car
3309,young,M,high,emp,small,train
3310,old,M,high,emp,big,car
3311,adult,F,high,emp,small,train
3312,young,F,uni,emp,big,train
3313,young,M,high,emp,small,train
3314,young,M,uni,emp,big,train
3315,young,M,high,emp,big,car
3316,old,M,uni,emp,big,car
3317,old,M,uni,emp,big,car
3318,young,F,uni,emp,big,car
3319,young,M,high,emp,small,train
3320,adult,M,high,emp,small,car
3321,adult,F,high,emp,small,train
3322,adult,M,uni,emp,small,train
3323,adult,F,high,emp,big,car
3324,young,M,high,emp,big,car
3325,young,M,uni,self,big,car
3326,old,M,high,emp,big,car
3327,old,M,high,emp,small,other
3328,old,M,high,emp,big,car
3329,young,M,high,emp,small,train
3330,adult,M,high,emp,big,train
3331,young,M,high,emp,big,car
3332,adult,M,high,emp,big,train
3333,young,M,uni,emp,big,car
3334,adult,M,uni,emp,big,other
3335,adult,M,uni,emp,big,car
3336,adult,M,high,emp,small,train
3337,adult,F,high,emp,big,other
3338,young,F,high,self,big,train
3339,adult,M,high,emp,small,car
3340,young,M,high,emp,big,train
3341,old,M,high,emp,big,car
3342,adult,M,high,emp,small,car
3343,young,M,high,emp,big,other
3344,adult,M,uni,self,big,car
3345,adult,M,high,emp,big,car
3346,young,F,high,emp,big,other
3347,young,M,high,emp,small,train
3348,young,M,high,emp,big,other
3349,adult,F,uni,emp,big,car
3350,young,F,high,emp,big,train
3351,young,M,high,emp,big,other
3352,young,M,high,emp,big,car
3353,adult,F,high,emp,big,train
3354,young,F,high,emp,big,car
3355,adult,F,high,emp,big,car
3356,old,M,high,emp,big,car
3357,young,F,high,emp,big,car
3358,young,M,high,emp,big,car
3359,adult,F,high,emp,big,train
3360,adult,M,high,emp,small,car
3361,old,F,high,emp,big,car
3362,young,M,high,emp,big,car
3363,young,F,uni,emp,big,train
3364,old,M,high,emp,big,other
3365,adult,M,high,emp,small,car
3366,young,M,high,self,big,car
3367,old,M,high,emp,small,car
3368,old,M,high,emp,big,car
3369,old,M,high,emp,small,car
3370,adult,M,high,emp,big,other
3371,adult,M,high,emp,big,car
3372,adult,M,high,emp,big,other
3373,adult,M,high,emp,big,car
3374,young,M,high,emp,big,train
3375,young,F,high,emp,big,train
3376,young,F,high,emp,big,train
3377,young,M,high,emp,big,car
3378,young,F,uni,emp,big,train
3379,young,M,high,emp,big,car
3380,adult,F,high,emp,big,car
3381,young,M,uni,emp,small,car
3382,adult,F,high,emp,big,car
3383,adult,F,high,emp,big,train
3384,adult,M,uni,self,big,car
3385,old,M,uni,emp,big,other
3386,young,M,high,emp,big,train
3387,young,M,uni,emp,big,train
3388,adult,F,high,emp,big,car
3389,adult,F,uni,emp,big,car
3390,adult,M,high,emp,big,car
3391,young,M,high,emp,small,car
3392,adult,M,uni,emp,big,train
3393,adult,F,uni,emp,big,car
3394,young,M,uni,emp,big,train
3395,adult,M,high,emp,big,other
3396,adult,F,high,emp,small,car
3397,adult,M,high,emp,big,car
3398,old,F,high,emp,big,other
3399,adult,M,high,emp,small,train
3400,adult,M,high,emp,big,other
3401,adult,M,high,emp,big,car
3402,old,M,high,emp,big,car
3403,old,F,high,emp,big,car
3404,old,M,high,emp,big,car
3405,young,M,high,emp,big,other
3406,old,M,high,emp,big,car
3407,adult,M,high,emp,big,car
3408,adult,F,high,emp,big,train
3409,adult,F,high,emp,small,train
3410,young,F,high,emp,big,car
3411,adult,M,high,emp,big,train
3412,old,M,uni,emp,big,car
3413,young,F,high,emp,big,car
3414,adult,F,uni,emp,small,train
3415,old,M,high,emp,big,car
3416,young,F,high,emp,big,train
3417,old,M,uni,emp,big,train
3418,young,F,high,emp,big,train
3419,adult,F,high,emp,small,train
3420,adult,F,high,emp,small,other
3421,adult,M,high,self,big,car
3422,adult,M,high,emp,small,train
3423,old,F,high,emp,big,car
3424,young,F,high,emp,big,car
3425,young,M,high,emp,small,car
3426,adult,F,uni,emp,big,car
3427,adult,F,uni,emp,big,car
3428,adult,M,high,emp,small,train
3429,young,F,high,emp,small,train
3430,old,M,high,emp,small,car
3431,adult,F,high,emp,big,car
3432,adult,F,uni,emp,big,car
3433,young,M,high,emp,small,train
3434,adult,M,high,emp,big,car
3435,young,M,uni,emp,big,car
3436,adult,M,uni,emp,big,train
3437,young,F,high,emp,big,car
3438,young,F,uni,emp,small,other
3439,adult,M,uni,emp,big,train
3440,adult,M,high,emp,big,car
3441,old,M,high,emp,small,car
3442,adult,M,high,emp,big,train
3443,old,F,high,emp,small,other
3444,young,M,high,self,small,car
3445,old,F,high,emp,small,train
3446,young,M,uni,emp,big,car
3447,young,M,high,emp,small,car
3448,adult,M,high,emp,big,car
3449,adult,M,high,emp,big,train
3450,adult,F,uni,emp,big,car
3451,young,M,high,emp,big,train
3452,old,M,uni,emp,small,train
3453,young,M,high,emp,big,car
3454,old,M,high,emp,big,car
3455,young,M,high,emp,big,car
3456,young,F,uni,emp,big,car
3457,adult,F,high,emp,big,other
3458,adult,F,uni,emp,big,train
3459,adult,M,high,emp,big,car
3460,adult,F,high,emp,small,train
3461,adult,M,high,emp,big,car
3462,young,M,high,emp,small,train
3463,adult,M,high,emp,small,car
3464,adult,M,high,emp,small,train
3465,adult,M,high,emp,big,car
3466,adult,M,high,emp,small,car
3467,old,M,high,emp,big,car
3468,adult,F,high,emp,big,car
3469,young,M,high,emp,big,car
3470,adult,F,uni,emp,big,other
3471,adult,M,uni,emp,big,train
3472,adult,M,uni,emp,big,train
3473,young,F,high,emp,small,train
3474,adult,M,high,emp,big,other
3475,young,F,uni,emp,big,train
3476,young,M,high,emp,big,car
3477,adult,M,uni,emp,small,car
3478,young,F,high,emp,big,car
3479,adult,F,uni,emp,big,car
3480,young,M,uni,emp,small,car
3481,adult,M,uni,emp,big,car
3482,old,M,uni,emp,big,other
3483,adult,F,high,emp,big,train
3484,adult,F,high,emp,big,car
3485,young,M,uni,emp,big,other
3486,adult,M,high,emp,big,car
3487,adult,M,uni,emp,big,car
3488,old,M,high,emp,big,car
3489,old,M,high,emp,small,train
3490,adult,F,high,emp,big,train
3491,young,F,high,emp,small,train
3492,adult,M,uni,emp,big,other
3493,young,M,uni,emp,small,train
3494,young,M,high,emp,small,car
3495,young,F,uni,emp,big,other
3496,adult,M,high,emp,big,car
3497,adult,M,high,emp,big,car
3498,adult,M,high,emp,big,car
3499,old,F,high,emp,small,train
3500,adult,M,high,emp,big,car
3501,adult,F,uni,emp,big,other
3502,young,M,high,emp,small,train
3503,young,M,uni,emp,big,car
3504,young,F,high,emp,big,other
3505,adult,M,high,emp,small,train
3506,adult,M,high,emp,big,other
3507,adult,F,uni,emp,big,train
3508,young,F,high,emp,big,train
3509,old,F,uni,emp,big,car
3510,adult,F,high,emp,big,car
3511,old,F,high,emp,big,train
3512,old,M,high,emp,big,car
3513,adult,F,uni,emp,big,other
3514,adult,F,high,emp,big,car
3515,adult,F,high,emp,big,car
3516,old,M,high,emp,big,car
3517,adult,M,high,emp,small,train
3518,old,F,high,emp,big,other
3519,old,M,uni,emp,big,other
3520,young,M,high,emp,big,car
3521,adult,M,high,emp,big,car
3522,young,M,high,emp,big,other
3523,adult,M,high,emp,big,car
3524,adult,M,high,emp,big,car
3525,adult,F,high,emp,big,car
3526,adult,M,uni,emp,small,car
3527,adult,F,high,emp,big,car
3528,adult,M,high,emp,big,train
3529,old,M,high,emp,small,car
3530,adult,M,high,emp,small,train
3531,young,M,uni,emp,big,car
3532,adult,M,high,emp,big,car
3533,adult,M,high,emp,big,car
3534,adult,M,high,emp,big,car
3535,young,M,high,self,small,train
3536,old,M,high,emp,big,train
3537,old,M,high,emp,big,car
3538,adult,M,high,emp,big,train
3539,adult,M,uni,emp,big,other
3540,young,M,high,emp,big,train
3541,young,M,high,emp,big,car
3542,adult,M,high,emp,big,car
3543,adult,F,high,emp,small,train
3544,old,M,high,emp,big,car
3545,young,F,uni,emp,big,train
3546,adult,F,high,emp,big,train
3547,adult,M,uni,emp,big,car
3548,adult,M,high,emp,big,train
3549,adult,F,high,emp,small,car
3550,adult,M,high,emp,small,car
3551,old,M,high,emp,big,car
3552,young,F,uni,emp,small,train
3553,adult,M,high,emp,big,car
3554,old,M,high,emp,small,other
3555,young,M,high,emp,big,car
3556,adult,M,high,emp,big,car
3557,adult,F,uni,emp,big,car
3558,young,F,high,emp,small,car
3559,young,F,high,emp,big,car
3560,young,F,uni,emp,small,train
3561,old,M,high,emp,small,train
3562,adult,M,high,emp,small,car
3563,adult,M,high,emp,big,car
3564,old,M,high,emp,big,car
3565,adult,M,high,emp,big,car
3566,adult,M,high,emp,big,car
3567,young,F,uni,emp,big,other
3568,old,M,high,emp,big,train
3569,adult,F,high,emp,big,train
3570,young,M,uni,emp,big,car
3571,old,M,high,emp,big,other
3572,adult,M,high,emp,big,car
3573,adult,M,high,emp,big,car
3574,young,M,high,emp,big,car
3575,old,F,high,emp,big,train
3576,young,M,high,emp,big,train
3577,young,F,uni,emp,big,train
3578,adult,M,high,emp,small,train
3579,old,M,high,emp,small,train
3580,young,M,high,emp,big,car
3581,adult,F,high,emp,small,other
3582,adult,M,high,emp,big,train
3583,adult,M,uni,emp,big,train
3584,adult,M,high,emp,small,car
3585,old,M,uni,emp,big,car
3586,young,F,uni,emp,small,car
3587,adult,M,high,emp,big,car
3588,young,M,high,emp,big,other
3589,adult,F,high,emp,big,car
3590,adult,M,uni,self,big,car
3591,adult,M,high,emp,big,car
3592,young,F,high,emp,big,car
3593,old,M,high,emp,big,car
3594,old,F,high,emp,small,car
3595,adult,M,high,emp,big,car
3596,old,M,high,emp,big,car
3597,adult,F,high,emp,small,train
3598,old,F,high,emp,big,car
3599,adult,F,high,emp,small,train
3600,adult,F,high,emp,big,car
3601,adult,F,high,emp,big,car
3602,adult,M,high,emp,big,car
3603,old,F,uni,emp,small,car
3604,young,M,uni,emp,big,train
3605,adult,M,high,emp,small,train
3606,old,M,high,emp,small,train
3607,adult,F,high,self,small,car
3608,young,M,high,emp,big,car
3609,old,F,high,emp,small,car
3610,adult,M,high,emp,big,car
3611,adult,F,high,emp,small,train
3612,old,F,high,emp,big,other
3613,old,M,high,emp,small,car
3614,old,M,high,emp,small,car
3615,adult,M,high,emp,big,train
3616,adult,M,high,emp,big,car
3617,adult,F,high,emp,big,car
3618,adult,M,high,emp,big,other
3619,young,F,high,emp,small,car
3620,adult,M,high,emp,big,car
3621,adult,F,high,emp,big,car
3622,young,M,high,emp,big,car
3623,young,F,high,emp,big,car
3624,old,M,high,emp,small,other
3625,young,M,high,emp,small,train
3626,young,M,high,emp,big,car
3627,adult,F,uni,emp,small,train
3628,adult,F,high,emp,big,car
3629,adult,M,high,emp,small,car
3630,adult,M,high,emp,small,car
3631,young,M,high,emp,big,other
3632,adult,M,high,emp,big,car
3633,old,F,high,emp,big,train
3634,old,M,high,emp,big,car
3635,adult,F,uni,emp,big,car
3636,old,M,high,emp,big,car
3637,adult,M,high,emp,big,car
3638,old,M,uni,emp,big,other
3639,adult,F,high,emp,big,train
3640,young,F,high,emp,big,car
3641,old,M,high,emp,big,car
3642,young,M,high,emp,big,car
3643,adult,M,uni,emp,big,car
3644,old,M,high,emp,big,train
3645,old,F,high,emp,big,train
3646,adult,F,high,emp,big,train
3647,old,M,high,emp,small,car
3648,adult,M,uni,emp,big,car
3649,adult,F,uni,self,big,car
3650,adult,F,high,emp,small,car
3651,old,M,high,emp,big,car
3652,old,M,high,emp,small,car
3653,adult,M,uni,emp,small,train
3654,adult,M,uni,emp,big,car
3655,young,F,high,emp,big,car
